Ref,Val,Package,PosX,PosY,Rot,Side
"U1","STM32F407VETx","LQFP-100_14x14mm_P0.5mm","45.4380","-43.8980","0.0000","top"
"U2","SP3485EN","SOIC-8_3.9x4.9mm_P1.27mm","67.9450","-63.5000","0.0000","top"
"U3","SP3485EN","SOIC-8_3.9x4.9mm_P1.27mm","82.5500","-63.5000","0.0000","top"
"U4","SP3485EN","SOIC-8_3.9x4.9mm_P1.27mm","97.1550","-63.5000","0.0000","top"
"U5","AP1117-33","SOT-223-3_TabPin2","34.4170","-29.7180","0.0000","top"
"U7","TPS54336ADDA","TI_SO-PowerPAD-8_ThermalVias","18.1610","-31.1150","0.0000","top"
"U8","FE1.1S","SSOP-28_3.9x9.9mm_P0.635mm","17.7800","-54.6100","90.0000","top"
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm","33.9090","-44.4930","270.0000","top"
"Y2","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm","14.7320","-60.8330","0.0000","top"
"Y3","32.768MHz","Crystal_SMD_3215-2Pin_3.2x1.5mm","33.9090","-39.6240","270.0000","top"
